dataset,episode_a,frame_a,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v2_clean,16,5,22,23,1.47608,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,16,6,22,23,1.47608,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,16,7,22,23,1.47608,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,16,8,22,23,1.47608,-0.52747,4.65934,5.18681,-2.15384,-6.02198,3.86814,5.18681
v2_clean,20,0,22,23,2.51061,-0.52747,4.65934,5.18681,-2.24176,-6.02198,3.78022,5.18681
v2_clean,20,1,22,23,2.51061,-0.52747,4.65934,5.18681,-2.24176,-6.02198,3.78022,5.18681
v2_clean,20,2,22,23,2.51061,-0.52747,4.65934,5.18681,-2.24176,-6.02198,3.78022,5.18681
v2_clean,20,3,22,23,2.51061,-0.52747,4.65934,5.18681,-2.24176,-6.02198,3.78022,5.18681
v2_clean,20,4,22,23,2.51061,-0.52747,4.65934,5.18681,-2.24176,-6.02198,3.78022,5.18681
v2_clean,20,5,22,23,2.51061,-0.52747,4.65934,5.18681,-2.24176,-6.02198,3.78022,5.18681
v2_clean,20,6,22,23,2.51061,-0.52747,4.65934,5.18681,-2.24176,-6.02198,3.78022,5.18681
v2_clean,20,7,22,23,2.51061,-0.52747,4.65934,5.18681,-2.24176,-6.02198,3.78022,5.18681
v2_clean,21,0,22,23,1.88851,-0.52747,4.65934,5.18681,-2.24175,-6.02198,3.78023,5.18681
v2_clean,21,1,22,23,1.88851,-0.52747,4.65934,5.18681,-2.24175,-6.02198,3.78023,5.18681
v2_clean,21,2,22,23,1.88851,-0.52747,4.65934,5.18681,-2.24175,-6.02198,3.78023,5.18681
v2_clean,9,14,22,23,2.44959,-0.43957,4.65934,5.09891,-2.06593,-6.02198,3.95605,5.09891
v2_clean,9,15,22,23,2.44959,-0.43957,4.65934,5.09891,-2.24176,-6.02198,3.78022,5.09891
v2_clean,15,0,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,1,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,2,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,3,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,4,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,5,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
